Country_Code,Country_Namr,Long_Name,Table_Name,Literacy.PC1,Hi.Degree.PC1,Hi.Degree.PC2,Hi.Degree.PC3,Hi.Degree.PC4,Schl.Yrs.PC1,Schl.Yrs.PC2,EG_ELC_ACCS_ZS,EN_POP_SLUM_UR_ZS,FB_ATM_TOTL_P5,IC_ELC_TIME,IC_FRM_ISOC_ZS,IC_TAX_TOTL_CP_ZS,IQ_WEF_PORT_XQ,SE_XPD_TOTL_GD_ZS,SL_EMP_TOTL_SP_ZS,SL_TLF_SECO_ZS,SL_TLF_TOTL_IN,TM_TAX_MANF_SM_FN_ZS,UIS_PTRHC_2,UIS_PTRHC_3,UIS_PTRHC_56,Cluster
KGZ,Kyrgyz Republic,Kyrgyz Republic,Kyrgyz Republic,64.1687786298815,4.23813891935901,-2.88801403507154,0.325530377819572,1.24489780972545,4.57091523501394,-0.815288452118621,100,0,24.65135291,125,28,29,1.500406062,6.7802,62.40000153,73.90000153,2727997,4.1,0,0,14.12427,3
KWT,Kuwait,State of Kuwait,Kuwait,59.626281180621,-0.459244088801755,0.124175487612856,0.545550021713555,-0.171463932229319,-2.88832310520538,-0.963255987034138,97.69783,0,58.50080618,64,0,13,3.976525742,3.76001,66.5,20.70000076,1992954,4.63,8.07498,6.76887,17.02818,3
LVA,Latvia,Republic of Latvia,Latvia,64.7142208921621,4.07910142541413,0.624421043107679,-1.26415992201464,0.257192235091786,4.73967614318702,-0.47757103467504,100,0,63.20170456,107,19.6,35.9,5.18019421,3.20394,54.79999924,58.40000153,1036589,4.05,7.37622,9.25113,14.22373,3
MAC,"Macao SAR, China","Macao Special Administrative Region of the People's Republic of China","Macao SAR, China",60.111004291771,0.696783057666233,0.706896448080668,1.3525500416301,-1.75453932075066,0.442894125865387,1.25005980461213,90.54264,0,224.9834834,0,0,0,0,2.05939,70.5,28.39999962,360841,0,12.67407,11.80369,13.33981,3
MDA,Moldova,Republic of Moldova,Moldova,64.3013396853756,3.28711943058601,0.625548761101165,-7.76933342973644e-02,-1.47337332420718,4.08964538755669,-0.922332869360474,100,0,36.49779982,113,18.7,40.2,2.187036319,7.50124,39.90000153,56.20000076,1236917,3.94,9.48504,9.15378,16.67084,3
MLT,Malta,Republic of Malta,Malta,56.9152010667121,1.84991521041116,0.158190226161062,1.50344876540552,1.41486344065463,4.11617251737643,1.29470706524085,100,0,56.28187087,121,0,41.3,5.232202516,6.75966,48.79999924,30.70000076,189081,4.05,6.91793,8.65706,8.08074,3
MUS,Mauritius,Republic of Mauritius,Mauritius,52.1262841117858,-0.353450855237835,0.748211508482295,0.321709832382002,-0.06397899617154,0.676565551794033,2.57459499968167,100,0,44.75015557,81,11.1,22.4,4.748386113,4.98984,54.09999847,39.79999924,592300,0.98,0,0,30.38818,3
PAN,Panama,Republic of Panama,Panama,56.7256591411303,1.56327820300306,-0.171895862412653,0.639758264361457,0.453971222039443,2.00731732280365,0.302039144363185,90.87544,25.8,60.8394214,35,22.5,37.2,6.252390009,3.29343,62.59999847,44.09999847,1837203,5.44,16.62432,13.98376,10.87669,3
POL,Poland,Republic of Poland,Poland,64.8091528006204,4.88482316594432,-4.40762970650302,0.69476823697724,2.17630533301999,5.50692089981433,-0.771068275002392,100,0,63.58095676,133,33,40.3,4.021324783,4.86121,51.29999924,62.40000153,18280161,4.05,9.06589,9.91525,18.50407,3
PRT,Portugal,Portuguese Republic,Portugal,59.3426239970091,-0.13440502461948,1.46053943319252,1.80812102293973,0.735104496255222,-0.165635945483848,1.55337032551177,100,0,177.6906379,52,12.7,41,5.304742397,5.12129,51.70000076,24.70000076,5379280,4.05,10.43564,9.18652,10.45601,3
QAT,Qatar,State of Qatar,Qatar,60.8098883826728,1.01165349112803,0.981745065952096,0.494209209843671,1.0145263258274,0.688297569005937,0.404738196784571,97.69783,0,61.37663399,90,0,11.3,5.595322221,3.52539,86.40000153,0,1593886,4.63,10.76287,9.5617,12.71012,3
ROM,Romania,Romania,Romania,62.6973924692023,1.43852555429286,1.54196176525365,0.821593258903117,-0.479676736462449,4.38682583243155,-0.865633566897403,100,0,64.78037459,182,34.4,42,3.419629832,2.9855,52.79999924,56.5,9527721,4.05,11.19595,14.87933,22.43357,3
RUS,Russian Federation,Russian Federation,Russian Federation,64.3553955874601,3.50013381668914,-1.62764658370812,-0.177510911024713,-6.35133959650161,5.82726130393561,-0.68221541550832,100,0,184.6976969,160.5,12.6,47,3.938319804,4.15467,60.5,39.5,76754167,7.42,0,0,14.41403,3
SAU,Saudi Arabia,Kingdom of Saudi Arabia,Saudi Arabia,57.2309106251833,0.979482691390491,0.514470007599835,0.591074164804939,-1.84802976389248,-1.33425875186869,2.12939817961546,97.69783,18,74.02676347,61,0,15,4.843094238,5.13781,52.09999847,28.39999962,12134929,4.63,10.55623,11.4165,20.27622,3
SGP,Singapore,Republic of Singapore,Singapore,61.1182514096734,3.35461210214044,1.07384574469225,-1.69859184102431,-0.546994601166245,3.93619619491091,3.79434550036317,100,0,59.32291633,31,0,18.4,6.66474054,2.90507,65.59999847,30.29999924,3110343,0,14.91591,14.90509,13.54991,3
SRB,Serbia,Republic of Serbia,Serbia,60.927409548383,1.79042995621327,-0.197309622024236,0.556708888306689,-1.13980391742616,4.84967252877002,-0.52102645724089,100,0,43.97233038,131,32.5,39.7,2.672683491,4.42658,40.90000153,34.09999847,3132027,6.65,8.3424,8.99388,23.21905,3
SVK,Slovak Republic,Slovak Republic,Slovak Republic,63.9164186940221,1.80367714002744,1.13821001299769,0.495778499750142,-1.34262872632146,8.15132770527311,-1.54492901898774,100,0,58.84848828,121,42.9,51.2,3.164993681,3.93731,51.59999847,72.5,2738420,4.05,10.99898,11.5124,16.32972,3
SVN,Slovenia,Republic of Slovenia,Slovenia,64.5450884292985,1.87523852505195,0.221037282946498,1.01979160600676,-3.75464383643127,6.67367483300201,-1.64692978261821,100,0,95.79507762,38,22.5,31,4.96997423,5.65882,52.09999847,57.5,1012624,4.05,7.27727,12.99036,13.59104,3
TJK,Tajikistan,Republic of Tajikistan,Tajikistan,64.6295054842707,1.63154113788971,1.50197316562936,0.21976182837277,-0.65465933852655,4.47240111176042,-1.1725011780733,100,0,10.41371326,133,16.9,81.8,2.097190657,4.01803,60.70000076,65.90000153,3676342,7.11,21.61915,8.43554,17.5542,3
TTO,Trinidad and Tobago,Republic of Trinidad and Tobago,Trinidad and Tobago,63.3217588687815,0.788791644619203,2.77094840476537,-0.647264213577765,1.79723035555459,4.11185823297283,0.742554299916441,99.8278,24.7,40.84317632,61,11,32.2,3.998805971,3.156,61.5,63,686710,5.46,13.49841,0,9.73895,3
UKR,Ukraine,Ukraine,Ukraine,64.4828974235701,4.72992158368959,-3.46632746439798,0.645834999086669,-0.417302577188559,5.43419425149633,-1.50503888840899,100,0,94.55598808,263,16.6,52.2,3.161451566,6.67166,55,2.099999905,23089480,4.07,0,0,11.01798,3
ZAF,South Africa,Republic of South Africa,South Africa,56.9293484939849,0.560092901760265,0.970575938800211,0.348160530310748,-0.517121516165431,2.02391627159388,0.735761344167009,85.4,23,66.19826566,226,26.4,28.8,4.8698817,6.05629,39.40000153,31.29999924,19980062,8.08,0,0,22.80147,3
AFG,Afghanistan,Islamic State of Afghanistan,Afghanistan,-62.1109372515259,-3.1246465259864,-1.00955732105774,-0.8330274923412,-0.173923366830453,-8.96566338700402,-1.26787061377732,43,62.7,0.802081543,114,22.1,36.3,0,4.6191,43.40000153,0,8334374,5.85,45.04142,30.74908,31.89532,4
BDI,Burundi,Republic of Burundi,Burundi,32.3395233036615,-3.1246465259864,-1.00955732105774,-0.8330274923412,-0.173923366830453,-8.60105309436434,-1.31904139925728,6.5,57.9,1.398660325,158,10.6,40.3,2.780635781,5.41475,77,0,4952060,11.35,42.50685,26.20684,14.67375,4
BEN,Benin,Republic of Benin,Benin,-68.3391704594272,-2.61568356542027,-0.556336480038558,-1.68630315765102e-02,5.24180413184185e-02,-7.7365782416872,-0.346426200599773,38.4,61.5,4.329718565,90,8.9,63.3,3.358208895,4.7956,72.19999695,0,4444955,11.87,11.01843,7.69833,17.25623,4
BGD,Bangladesh,"People's Republic of Bangladesh",Bangladesh,-2.36574683007783,-1.68080982724598,0.110755441150122,0.803227356808024,0.156649150587759,-4.33995496078256,0.930124448319461,59.6,55.1,9.236862234,428.9,14.3,31.6,3.558376581,1.96616,67.80000305,0,78976778,14.52,36.87466,33.24147,23.08715,4
CAF,Central African Republic,Central African Republic,Central African Republic,-88.5813173852456,-3.1246465259864,-1.00955732105774,-0.8330274923412,-0.173923366830453,-8.0834486572236,-1.61706382149417,10.8,93.3,1.079971532,98,37,73.3,0,1.22862,72.90000153,0,2291727,17.39,0,0,34.60677,4
CIV,"Cote d'Ivoire","Republic of Côte d'Ivoire","Côte d'Ivoire",-65.9131952248078,-3.1246465259864,-1.00955732105774,-0.8330274923412,-0.173923366830453,-7.05183714953338,-0.64331982694626,55.8,56,5.881447799,55,4.3,51.9,5.234129965,4.71947,64.59999847,0,8540700,11.87,34.32982,20.60998,9.05427,4
CMR,Cameroon,Republic of Cameroon,Cameroon,14.6270044975951,-3.1246465259864,-1.00955732105774,-0.8330274923412,-0.173923366830453,-4.43536979252144,5.67346407398572e-02,53.7,37.8,3.521575584,64,20.4,48.8,3.276135193,3.02834,67.30000305,0,9176788,17.47,19.73618,19.26365,52.02621,4
COG,"Congo, Rep.",Republic of Congo,"Congo, Rep.",16.9049473811203,-3.1246465259864,-1.00955732105774,-0.8330274923412,-0.173923366830453,-4.58636959967444,-0.30657959346938,41.6,46.9,3.83447135,135,19.6,56,0,6.22079,66.09999847,0,1827861,17.34,19.5078,16.8374,12.25985,4
GMB,"Gambia, The",Republic of The Gambia,"Gambia, The",-21.9053413264561,-3.1246465259864,-1.00955732105774,-0.8330274923412,-0.173923366830453,-8.19040106938313,-0.49238618366423,34.5268,34.8,0,78,22.2,63.3,4.116887355,2.80663,72,0,801157,13.79,27.70799,0,10.26452,4
HTI,Haiti,Republic of Haiti,Haiti,-4.71447242051329,-3.1246465259864,-1.00955732105774,-0.8330274923412,-0.173923366830453,-6.46632096103353,-0.852338886049167,37.9,74.4,0,60,0,40.3,2.561020059,1.07399,61.5,0,4594342,4.55,0,0,14.0661,4
KEN,Kenya,Republic of Kenya,Kenya,20.9060506006841,-1.63145845927823,0.331718844729561,0.560068215849022,0.416944761849524,-4.57205102135101,-4.1813993905781e-02,23,56,10.19693071,110,22.1,37.1,4.150855252,5.50822,61.20000076,0,17500228,11.47,56.57381,32.30515,0,4
KHM,Cambodia,Kingdom of Cambodia,Cambodia,27.0725414285116,-2.36846906605823,-0.142740784384602,0.679324632038151,0.359817233580343,-6.50453181045332,-0.741158991750368,31.1,55.1,10.70651108,179,9.5,21,3.705970262,2.60388,82.19999695,20.5,8623857,10.61,19.7956,25.33049,20.7494,4
LAO,Lao PDR,"Lao People's Democratic Republic",Lao PDR,28.5411924189321,-3.1246465259864,-1.00955732105774,-0.8330274923412,-0.173923366830453,-6.10534639113034,-0.572173542776552,70,31.4,17.41098236,134,11.6,25.3,2.178439316,4.17047,76.69999695,0,3377525,8.17,17.99223,18.87236,13.39215,4
LBR,Liberia,Republic of Liberia,Liberia,-55.0834178914305,-3.1246465259864,-1.00955732105774,-0.8330274923412,-0.173923366830453,-7.6059461340875,-1.51663816034004,9.8,65.7,1.78355279,465,2.4,47.8,3.599999905,2.82069,59.29999924,0,1554233,10.15,13.75804,17.2592,21.63856,4
LSO,Lesotho,Kingdom of Lesotho,Lesotho,21.6498797007612,-1.97595578067976,5.93579187669775e-02,0.510874078495434,0.330195388850379,-3.24209692459777,-0.988901543380319,20.56256,50.8,11.24100719,114,24.7,13.6,2.706375655,12.98201,48.90000153,0,889178,8.08,0,0,29.28483,4
MLI,Mali,Republic of Mali,Mali,-66.3372239829387,-2.52931970032369,-0.599279799083099,-0.415980909819388,-0.115909985601598,-9.80262480312282,-2.4268239499173,25.6,56.3,4.26123852,120,24.8,48.3,2.494941214,4.33446,60.70000076,0,5924862,11.87,29.54108,10.83247,52.41272,4
MMR,Myanmar,Republic of the Union of Myanmar,Myanmar,52.1852744838571,-3.1246465259864,-1.00955732105774,-0.8330274923412,-0.173923366830453,-5.69018019781652,0.333408873007401,52.36256,41,1.556402344,77,1.7,31.4,2.62268482,1.20248,76,0,30217049,5.2,35.72074,22.73771,25.2772,4
MOZ,Mozambique,Republic of Mozambique,Mozambique,-13.4845616239092,-3.1246465259864,-1.00955732105774,-0.8330274923412,-0.173923366830453,-10.575376237188,-2.22199850566828,20.2,80.3,9.106682123,91,18.7,36.1,3.602159638,6.71555,65.09999847,0,12471084,9.64,33.89333,23.91423,15.22838,4
MRT,Mauritania,Islamic Republic of Mauritania,Mauritania,-39.4877789638232,-3.1246465259864,-1.00955732105774,-0.8330274923412,-0.173923366830453,-7.00286801460703,-0.486709365934621,21.76256,79.9,7.725474229,70,16.2,71.3,2.702978218,3.27544,37.29999924,0,1280621,12.15,56.59395,24.38188,42.95313,4
MWI,Malawi,Republic of Malawi,Malawi,-7.27823532796928,-2.67194281139161,-0.588044396717658,1.78827660673017e-02,2.55461987804461e-02,-6.6765222454928,-0.433234326614692,9.8,66.7,4.852664356,127,18.8,34.5,2.203982791,6.87791,76.80000305,0,7571373,11.49,0,0,13.60424,4
